Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2011,10,4,12:52:57,25.7775,90.1886,10.0,3.5,INDIA-BANGLADESH BORDER REGION,1317732777
2011,9,18,19:20:54,25.6131,91.0241,34.0,4.0,INDIA-BANGLADESH BORDER REGION,1316373654
2011,8,30,19:30:14,20.957,88.0925,0.0,3.4,BAY OF BENGAL,1314732614
2011,8,27,00:56:18,22.8991,90.5005,0.0,3.9,BANGLADESH,1314406578
2011,8,27,00:55:59,23.4668,90.6647,10.0,4.2,BANGLADESH,1314406559
2011,8,24,06:17:24,24.1927,91.3517,30.0,3.9,INDIA-BANGLADESH BORDER REGION,1314166644
2011,7,28,17:53:41,25.0012,88.7914,46.7,3.7,INDIA-BANGLADESH BORDER REGION,1311875621
2011,7,22,00:58:51,24.6685,92.0216,32.4,4.0,INDIA-BANGLADESH BORDER REGION,1311296331
2011,7,14,12:15:02,21.8568,91.9142,0.0,3.4,BAY OF BENGAL,1310645702
2011,6,23,13:55:10,21.5495,92.4359,0.0,3.4,MYANMAR-BANGLADESH BORDER REGION,1308837310
2011,6,23,12:39:38,23.8162,91.4378,30.0,4.4,INDIA-BANGLADESH BORDER REGION,1308832778
2011,6,21,04:51:00,23.0634,90.3424,35.0,3.6,BANGLADESH,1308631860
2011,6,9,07:34:27,23.5868,89.6407,35.0,4.4,BANGLADESH,1307604867
2011,5,24,03:14:22,25.0133,92.1775,44.0,4.1,INDIA-BANGLADESH BORDER REGION,1306206862
2011,5,17,07:02:49,20.3092,91.2993,35.0,4.7,BAY OF BENGAL,1305615769
2011,5,3,14:38:56,23.3654,90.7239,35.0,4.0,BANGLADESH,1304433536
2011,4,19,13:39:37,23.7237,92.621,35.0,4.1,INDIA-BANGLADESH BORDER REGION,1303220377
2011,4,14,08:06:19,25.6509,90.797,34.0,3.4,INDIA-BANGLADESH BORDER REGION,1302768379
2011,3,15,15:23:45,20.4455,87.7672,0.0,3.3,BAY OF BENGAL,1300202625
2011,2,24,05:36:37,23.8232,91.9227,0.0,3.5,INDIA-BANGLADESH BORDER REGION,1298525797
2011,2,12,10:22:44,23.3481,90.9273,35.0,4.1,BANGLADESH,1297506164
2011,2,1,08:52:47,23.6693,91.7151,29.0,3.8,INDIA-BANGLADESH BORDER REGION,1296550367
2011,1,27,16:40:48,25.8491,90.4731,0.0,3.5,INDIA-BANGLADESH BORDER REGION,1296146448
2011,1,21,10:53:14,24.6448,92.4222,37.0,3.4,INDIA-BANGLADESH BORDER REGION,1295607194
2011,1,14,14:45:28,24.7496,91.1776,0.0,3.2,INDIA-BANGLADESH BORDER REGION,1295016328
2010,12,29,14:03:58,25.5041,92.4486,35.0,4.1,INDIA-BANGLADESH BORDER REGION,1293631438
2010,11,8,14:37:22,25.2827,91.7474,0.0,3.6,INDIA-BANGLADESH BORDER REGION,1289227042
2010,11,5,07:56:49,16.8696,92.3905,35.0,4.1,BAY OF BENGAL,1288943809
2010,10,13,14:35:11,23.3198,91.3553,0.0,3.6,INDIA-BANGLADESH BORDER REGION,1286980511
2010,9,11,07:02:08,25.8367,90.2532,23.1,4.5,INDIA-BANGLADESH BORDER REGION,1284188528
2010,9,10,17:24:17,23.4743,90.6689,13.7,5.1,BANGLADESH,1284139457
2010,9,10,16:39:56,23.5003,90.6771,10.0,3.8,BANGLADESH,1284136796
2010,8,14,02:57:08,22.154,91.6724,10.0,3.4,BANGLADESH,1281754628
2010,8,12,10:33:54,23.1896,92.2434,10.0,3.8,INDIA-BANGLADESH BORDER REGION,1281609234
2010,7,31,00:15:34,22.6983,91.0713,10.0,3.3,BANGLADESH,1280535334
2010,7,30,14:48:05,23.4267,90.7896,10.0,3.3,BANGLADESH,1280501285
2010,6,13,06:13:35,25.8736,90.7632,10.0,3.8,INDIA-BANGLADESH BORDER REGION,1276409615
2010,6,12,16:13:06,23.4187,90.9752,35.0,3.8,BANGLADESH,1276359186
2010,6,11,18:04:58,25.6006,91.3657,34.0,3.5,INDIA-BANGLADESH BORDER REGION,1276279498
2010,3,28,10:48:48,25.7278,90.449,35.0,3.7,INDIA-BANGLADESH BORDER REGION,1269773328
2010,3,28,08:49:51,25.6773,90.3913,35.0,3.8,INDIA-BANGLADESH BORDER REGION,1269766191
2010,2,11,12:43:27,16.0775,87.8014,0.0,3.6,BAY OF BENGAL,1265892207
